BANDERA;(Varios elementos);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
FECHA;FARMACIA;Meta 1 $$;;;;;;;;;;;;;;
2/4/2026;PARQUE PATRICIOS; $ 5.942.657 ;;;;;;;;;;;;;;
2/4/2026;PILAR; $ 5.608.774 ;;;;;;;;;;;;;;
2/4/2026;POMPEYA; $ 5.980.745 ;;;;;;;;;;;;;;
2/4/2026;QUILMES; $ 16.114.450 ;;;;;;;;;;;;;;
2/4/2026;RAMOS MEJIA; $ 12.524.314 ;;;;;;;;;;;;;;
2/4/2026;RAMOS MEJIA II; $ 9.513.008 ;;;;;;;;;;;;;;
2/4/2026;RAMOS MEJIA III; $ -   ;;;;;;;;;;;;;;
2/4/2026;RECOLETA; $ 6.299.359 ;;;;;;;;;;;;;;
2/4/2026;RECOLETA II; $ 8.499.355 ;;;;;;;;;;;;;;
2/4/2026;RECOLETA III; $ 15.559.122 ;;;;;;;;;;;;;;
2/4/2026;RECOLETA IV; $ 12.626.844 ;;;;;;;;;;;;;;
2/4/2026;RECOLETA V; $ 13.736.593 ;;;;;;;;;;;;;;
2/4/2026;RETIRO; $ -   ;;;;;;;;;;;;;;
2/4/2026;RETIRO II; $ 6.829.336 ;;;;;;;;;;;;;;
2/4/2026;SALADILLO; $ -   ;;;;;;;;;;;;;;
2/4/2026;SAN ISIDRO; $ 40.733.868 ;;;;;;;;;;;;;;
2/4/2026;SAN ISIDRO II; $ 11.484.486 ;;;;;;;;;;;;;;
2/4/2026;SAN MIGUEL; $ 6.638.255 ;;;;;;;;;;;;;;
2/4/2026;TRIBUNALES; $ -   ;;;;;;;;;;;;;;
2/4/2026;VILLA BALLESTER; $ 33.913.217 ;;;;;;;;;;;;;;
2/4/2026;VILLA BALLESTER II; $ 17.041.775 ;;;;;;;;;;;;;;
2/4/2026;VILLA CRESPO; $ 11.953.816 ;;;;;;;;;;;;;;
2/4/2026;VILLA DEL PARQUE; $ 13.212.371 ;;;;;;;;;;;;;;
2/4/2026;VILLA DEL PARQUE II; $ 13.648.948 ;;;;;;;;;;;;;;
2/4/2026;VILLA LURO; $ 8.392.700 ;;;;;;;;;;;;;;
2/4/2026;VILLA URQUIZA; $ 18.102.734 ;;;;;;;;;;;;;;
2/4/2026;VILLA URQUIZA II; $ 8.970.167 ;;;;;;;;;;;;;;
2/4/2026;VILLA URQUIZA III; $ 13.617.868 ;;;;;;;;;;;;;;
Total 2/4/2026;; $ 697.541.875 ;;;;;;;;;;;;;;
