BANDERA;(Varios elementos);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
FECHA;FARMACIA;Meta 1 $$;;;;;;;;;;;;;;
10/4/2026;PALERMO III; $ 7.891.439 ;;;;;;;;;;;;;;
10/4/2026;PALERMO IV; $ 3.522.011 ;;;;;;;;;;;;;;
10/4/2026;PARQUE CENTENARIO; $ 5.698.356 ;;;;;;;;;;;;;;
10/4/2026;PARQUE PATRICIOS; $ 9.903.884 ;;;;;;;;;;;;;;
10/4/2026;PILAR; $ 11.251.406 ;;;;;;;;;;;;;;
10/4/2026;POMPEYA; $ 10.025.538 ;;;;;;;;;;;;;;
10/4/2026;QUILMES; $ 29.198.035 ;;;;;;;;;;;;;;
10/4/2026;RAMOS MEJIA; $ 22.175.675 ;;;;;;;;;;;;;;
10/4/2026;RAMOS MEJIA II; $ 14.236.042 ;;;;;;;;;;;;;;
10/4/2026;RAMOS MEJIA III; $ 2.013.178 ;;;;;;;;;;;;;;
10/4/2026;RECOLETA; $ 9.663.664 ;;;;;;;;;;;;;;
10/4/2026;RECOLETA II; $ 13.087.535 ;;;;;;;;;;;;;;
10/4/2026;RECOLETA III; $ 27.623.138 ;;;;;;;;;;;;;;
10/4/2026;RECOLETA IV; $ 21.424.809 ;;;;;;;;;;;;;;
10/4/2026;RECOLETA V; $ 20.584.576 ;;;;;;;;;;;;;;
10/4/2026;RETIRO; $ 8.783.374 ;;;;;;;;;;;;;;
10/4/2026;RETIRO II; $ 11.063.051 ;;;;;;;;;;;;;;
10/4/2026;SALADILLO; $ 5.621.249 ;;;;;;;;;;;;;;
10/4/2026;SAN ISIDRO; $ 69.944.021 ;;;;;;;;;;;;;;
10/4/2026;SAN ISIDRO II; $ 17.684.110 ;;;;;;;;;;;;;;
10/4/2026;SAN MIGUEL; $ 10.340.967 ;;;;;;;;;;;;;;
10/4/2026;TRIBUNALES; $ 21.019.632 ;;;;;;;;;;;;;;
10/4/2026;VILLA BALLESTER; $ 63.275.926 ;;;;;;;;;;;;;;
10/4/2026;VILLA BALLESTER II; $ 29.858.143 ;;;;;;;;;;;;;;
10/4/2026;VILLA CRESPO; $ 22.550.937 ;;;;;;;;;;;;;;
10/4/2026;VILLA DEL PARQUE; $ 22.212.827 ;;;;;;;;;;;;;;
10/4/2026;VILLA DEL PARQUE II; $ 24.639.969 ;;;;;;;;;;;;;;
10/4/2026;VILLA LURO; $ 13.012.459 ;;;;;;;;;;;;;;
10/4/2026;VILLA URQUIZA; $ 33.593.514 ;;;;;;;;;;;;;;
10/4/2026;VILLA URQUIZA II; $ 16.353.602 ;;;;;;;;;;;;;;
10/4/2026;VILLA URQUIZA III; $ 25.898.604 ;;;;;;;;;;;;;;
Total 10/4/2026;; $ 1.326.393.041 ;;;;;;;;;;;;;;
11/4/2026;BARRACAS; $ 13.603.415 ;;;;;;;;;;;;;;
11/4/2026;BECCAR; $ 26.699.263 ;;;;;;;;;;;;;;
11/4/2026;BELGRANO; $ 12.656.264 ;;;;;;;;;;;;;;
11/4/2026;BELGRANO II; $ 13.316.286 ;;;;;;;;;;;;;;
11/4/2026;BELGRANO III; $ 10.233.781 ;;;;;;;;;;;;;;
11/4/2026;BELGRANO IV; $ 11.426.001 ;;;;;;;;;;;;;;
11/4/2026;BELGRANO V; $ 21.456.683 ;;;;;;;;;;;;;;
11/4/2026;BELGRANO VI; $ 6.347.140 ;;;;;;;;;;;;;;
11/4/2026;BELGRANO VII - Danesa; $ 46.501.488 ;;;;;;;;;;;;;;
11/4/2026;BELGRANO VIII; $ 9.131.901 ;;;;;;;;;;;;;;
11/4/2026;BERAZATEGUI; $ 48.328.549 ;;;;;;;;;;;;;;
11/4/2026;BERAZATEGUI II; $ 16.232.370 ;;;;;;;;;;;;;;
11/4/2026;Boedo; $ 4.015.724 ;;;;;;;;;;;;;;
11/4/2026;CABALLITO; $ 42.718.528 ;;;;;;;;;;;;;;
11/4/2026;CABALLITO II; $ 14.001.219 ;;;;;;;;;;;;;;
11/4/2026;CABALLITO III; $ 16.700.790 ;;;;;;;;;;;;;;
11/4/2026;CABALLITO IV; $ 19.821.480 ;;;;;;;;;;;;;;
11/4/2026;CHACARITA; $ 5.485.145 ;;;;;;;;;;;;;;
11/4/2026;DEVOTO; $ 30.281.978 ;;;;;;;;;;;;;;
11/4/2026;Devoto II; $ 21.143.109 ;;;;;;;;;;;;;;
11/4/2026;Devoto III; $ 2.469.779 ;;;;;;;;;;;;;;
11/4/2026;Escobar; $ 2.870.598 ;;;;;;;;;;;;;;
11/4/2026;FLORES; $ 28.895.555 ;;;;;;;;;;;;;;
11/4/2026;GONZALEZ CATAN; $ 21.180.867 ;;;;;;;;;;;;;;
11/4/2026;GONZALEZ CATAN II; $ 10.763.453 ;;;;;;;;;;;;;;
11/4/2026;GONZALEZ CATAN III; $ 2.420.385 ;;;;;;;;;;;;;;
11/4/2026;ISDIN G. PACIFICO; $ 1.272.083 ;;;;;;;;;;;;;;
11/4/2026;ISDIN PALERMO; $ 1.165.458 ;;;;;;;;;;;;;;
11/4/2026;LAS CANITAS; $ 21.867.429 ;;;;;;;;;;;;;;
11/4/2026;LOREAL ALTO PALERMO; $ 3.718.166 ;;;;;;;;;;;;;;
11/4/2026;LOREAL G. PACIFICO; $ 1.704.631 ;;;;;;;;;;;;;;
11/4/2026;MERCEDES; $ 4.915.725 ;;;;;;;;;;;;;;
11/4/2026;MICROCENTRO; $ 1.545.173 ;;;;;;;;;;;;;;
11/4/2026;MICROCENTRO II; $ 4.013.629 ;;;;;;;;;;;;;;
11/4/2026;MORON; $ 14.325.738 ;;;;;;;;;;;;;;
11/4/2026;NUNEZ; $ 21.556.713 ;;;;;;;;;;;;;;
11/4/2026;PADUA; $ 7.588.744 ;;;;;;;;;;;;;;
11/4/2026;PALERMO; $ 8.449.663 ;;;;;;;;;;;;;;
11/4/2026;PALERMO II; $ 8.853.481 ;;;;;;;;;;;;;;
11/4/2026;PALERMO III; $ 5.870.800 ;;;;;;;;;;;;;;
11/4/2026;PALERMO IV; $ 2.658.412 ;;;;;;;;;;;;;;
11/4/2026;PARQUE CENTENARIO; $ 2.059.325 ;;;;;;;;;;;;;;
11/4/2026;PARQUE PATRICIOS; $ 7.904.777 ;;;;;;;;;;;;;;
11/4/2026;PILAR; $ 12.063.171 ;;;;;;;;;;;;;;
11/4/2026;POMPEYA; $ 9.393.675 ;;;;;;;;;;;;;;
11/4/2026;QUILMES; $ 21.946.053 ;;;;;;;;;;;;;;
11/4/2026;RAMOS MEJIA; $ 13.545.811 ;;;;;;;;;;;;;;
11/4/2026;RAMOS MEJIA II; $ 8.464.051 ;;;;;;;;;;;;;;
11/4/2026;RAMOS MEJIA III; $ 1.640.720 ;;;;;;;;;;;;;;
11/4/2026;RECOLETA; $ 6.748.348 ;;;;;;;;;;;;;;
11/4/2026;RECOLETA II; $ 4.719.162 ;;;;;;;;;;;;;;
11/4/2026;RECOLETA III; $ 16.170.722 ;;;;;;;;;;;;;;
11/4/2026;RECOLETA IV; $ 12.514.440 ;;;;;;;;;;;;;;
11/4/2026;RECOLETA V; $ 12.660.939 ;;;;;;;;;;;;;;
11/4/2026;RETIRO; $ -   ;;;;;;;;;;;;;;
11/4/2026;RETIRO II; $ 6.157.566 ;;;;;;;;;;;;;;
11/4/2026;SALADILLO; $ 3.604.116 ;;;;;;;;;;;;;;
11/4/2026;SAN ISIDRO; $ 55.317.002 ;;;;;;;;;;;;;;
11/4/2026;SAN ISIDRO II; $ 14.277.278 ;;;;;;;;;;;;;;
11/4/2026;SAN MIGUEL; $ 8.559.659 ;;;;;;;;;;;;;;
11/4/2026;TRIBUNALES; $ -   ;;;;;;;;;;;;;;
11/4/2026;VILLA BALLESTER; $ 55.336.599 ;;;;;;;;;;;;;;
11/4/2026;VILLA BALLESTER II; $ 25.397.266 ;;;;;;;;;;;;;;
11/4/2026;VILLA CRESPO; $ 19.352.700 ;;;;;;;;;;;;;;
11/4/2026;VILLA DEL PARQUE; $ 20.530.298 ;;;;;;;;;;;;;;
11/4/2026;VILLA DEL PARQUE II; $ 23.696.962 ;;;;;;;;;;;;;;
11/4/2026;VILLA LURO; $ 11.709.056 ;;;;;;;;;;;;;;
11/4/2026;VILLA URQUIZA; $ 29.956.176 ;;;;;;;;;;;;;;
11/4/2026;VILLA URQUIZA II; $ 12.761.169 ;;;;;;;;;;;;;;
11/4/2026;VILLA URQUIZA III; $ 23.296.763 ;;;;;;;;;;;;;;
Total 11/4/2026;; $ 1.007.991.400 ;;;;;;;;;;;;;;
12/4/2026;BARRACAS; $ 7.212.279 ;;;;;;;;;;;;;;
12/4/2026;BECCAR; $ 17.562.853 ;;;;;;;;;;;;;;
12/4/2026;BELGRANO; $ -   ;;;;;;;;;;;;;;
12/4/2026;BELGRANO II; $ -   ;;;;;;;;;;;;;;
12/4/2026;BELGRANO III; $ -   ;;;;;;;;;;;;;;
12/4/2026;BELGRANO IV; $ -   ;;;;;;;;;;;;;;
12/4/2026;BELGRANO V; $ 15.106.656 ;;;;;;;;;;;;;;
12/4/2026;BELGRANO VI; $ 4.473.780 ;;;;;;;;;;;;;;
12/4/2026;BELGRANO VII - Danesa; $ 22.627.635 ;;;;;;;;;;;;;;
12/4/2026;BELGRANO VIII; $ -   ;;;;;;;;;;;;;;
12/4/2026;BERAZATEGUI; $ -   ;;;;;;;;;;;;;;
12/4/2026;BERAZATEGUI II; $ -   ;;;;;;;;;;;;;;
12/4/2026;Boedo; $ -   ;;;;;;;;;;;;;;
12/4/2026;CABALLITO; $ 26.488.143 ;;;;;;;;;;;;;;
12/4/2026;CABALLITO II; $ -   ;;;;;;;;;;;;;;
12/4/2026;CABALLITO III; $ -   ;;;;;;;;;;;;;;
12/4/2026;CABALLITO IV; $ 11.710.428 ;;;;;;;;;;;;;;
12/4/2026;CHACARITA; $ -   ;;;;;;;;;;;;;;
12/4/2026;DEVOTO; $ 17.286.681 ;;;;;;;;;;;;;;
12/4/2026;Devoto II; $ 12.746.917 ;;;;;;;;;;;;;;
12/4/2026;Devoto III; $ -   ;;;;;;;;;;;;;;
12/4/2026;Escobar; $ -   ;;;;;;;;;;;;;;
12/4/2026;FLORES; $ -   ;;;;;;;;;;;;;;
12/4/2026;GONZALEZ CATAN; $ 4.589.167 ;;;;;;;;;;;;;;
12/4/2026;GONZALEZ CATAN II; $ -   ;;;;;;;;;;;;;;
12/4/2026;GONZALEZ CATAN III; $ -   ;;;;;;;;;;;;;;
12/4/2026;ISDIN G. PACIFICO; $ 945.456 ;;;;;;;;;;;;;;
12/4/2026;ISDIN PALERMO; $ 739.431 ;;;;;;;;;;;;;;
12/4/2026;LAS CANITAS; $ 14.100.276 ;;;;;;;;;;;;;;
12/4/2026;LOREAL ALTO PALERMO; $ 3.220.943 ;;;;;;;;;;;;;;
12/4/2026;LOREAL G. PACIFICO; $ 1.230.384 ;;;;;;;;;;;;;;
12/4/2026;MERCEDES; $ -   ;;;;;;;;;;;;;;
12/4/2026;MICROCENTRO; $ -   ;;;;;;;;;;;;;;
12/4/2026;MICROCENTRO II; $ -   ;;;;;;;;;;;;;;
12/4/2026;MORON; $ 3.884.895 ;;;;;;;;;;;;;;
12/4/2026;NUNEZ; $ 13.585.947 ;;;;;;;;;;;;;;
12/4/2026;PADUA; $ -   ;;;;;;;;;;;;;;
12/4/2026;PALERMO; $ 5.939.386 ;;;;;;;;;;;;;;
12/4/2026;PALERMO II; $ -   ;;;;;;;;;;;;;;
12/4/2026;PALERMO III; $ -   ;;;;;;;;;;;;;;
12/4/2026;PALERMO IV; $ -   ;;;;;;;;;;;;;;
12/4/2026;PARQUE CENTENARIO; $ -   ;;;;;;;;;;;;;;
12/4/2026;PARQUE PATRICIOS; $ -   ;;;;;;;;;;;;;;
12/4/2026;PILAR; $ 7.707.381 ;;;;;;;;;;;;;;
12/4/2026;POMPEYA; $ -   ;;;;;;;;;;;;;;
12/4/2026;QUILMES; $ -   ;;;;;;;;;;;;;;
12/4/2026;RAMOS MEJIA; $ 5.769.889 ;;;;;;;;;;;;;;
12/4/2026;RAMOS MEJIA II; $ -   ;;;;;;;;;;;;;;
12/4/2026;RAMOS MEJIA III; $ -   ;;;;;;;;;;;;;;
12/4/2026;RECOLETA; $ -   ;;;;;;;;;;;;;;
12/4/2026;RECOLETA II; $ -   ;;;;;;;;;;;;;;
12/4/2026;RECOLETA III; $ 11.419.250 ;;;;;;;;;;;;;;
12/4/2026;RECOLETA IV; $ 7.471.915 ;;;;;;;;;;;;;;
12/4/2026;RECOLETA V; $ -   ;;;;;;;;;;;;;;
12/4/2026;RETIRO; $ -   ;;;;;;;;;;;;;;
12/4/2026;RETIRO II; $ -   ;;;;;;;;;;;;;;
12/4/2026;SALADILLO; $ -   ;;;;;;;;;;;;;;
12/4/2026;SAN ISIDRO; $ 42.827.362 ;;;;;;;;;;;;;;
12/4/2026;SAN ISIDRO II; $ -   ;;;;;;;;;;;;;;
12/4/2026;SAN MIGUEL; $ -   ;;;;;;;;;;;;;;
12/4/2026;TRIBUNALES; $ -   ;;;;;;;;;;;;;;
12/4/2026;VILLA BALLESTER; $ 38.891.230 ;;;;;;;;;;;;;;
12/4/2026;VILLA BALLESTER II; $ -   ;;;;;;;;;;;;;;
12/4/2026;VILLA CRESPO; $ 9.304.621 ;;;;;;;;;;;;;;
12/4/2026;VILLA DEL PARQUE; $ -   ;;;;;;;;;;;;;;
12/4/2026;VILLA DEL PARQUE II; $ 10.070.149 ;;;;;;;;;;;;;;
12/4/2026;VILLA LURO; $ -   ;;;;;;;;;;;;;;
12/4/2026;VILLA URQUIZA; $ 12.865.656 ;;;;;;;;;;;;;;
12/4/2026;VILLA URQUIZA II; $ 5.802.405 ;;;;;;;;;;;;;;
12/4/2026;VILLA URQUIZA III; $ 10.640.625 ;;;;;;;;;;;;;;
Total 12/4/2026;; $ 346.221.739 ;;;;;;;;;;;;;;
13/4/2026;BARRACAS; $ 15.479.667 ;;;;;;;;;;;;;;
13/4/2026;BECCAR; $ 33.279.571 ;;;;;;;;;;;;;;
13/4/2026;BELGRANO; $ 18.293.094 ;;;;;;;;;;;;;;
13/4/2026;BELGRANO II; $ 20.431.326 ;;;;;;;;;;;;;;
13/4/2026;BELGRANO III; $ 14.295.286 ;;;;;;;;;;;;;;
13/4/2026;BELGRANO IV; $ 14.497.416 ;;;;;;;;;;;;;;
13/4/2026;BELGRANO V; $ 23.909.159 ;;;;;;;;;;;;;;
13/4/2026;BELGRANO VI; $ 12.988.838 ;;;;;;;;;;;;;;
13/4/2026;BELGRANO VII - Danesa; $ 61.389.464 ;;;;;;;;;;;;;;
13/4/2026;BELGRANO VIII; $ 15.050.657 ;;;;;;;;;;;;;;
13/4/2026;BERAZATEGUI; $ 61.711.883 ;;;;;;;;;;;;;;
13/4/2026;BERAZATEGUI II; $ 23.672.480 ;;;;;;;;;;;;;;
13/4/2026;Boedo; $ 5.653.361 ;;;;;;;;;;;;;;
13/4/2026;CABALLITO; $ 51.992.795 ;;;;;;;;;;;;;;
13/4/2026;CABALLITO II; $ 18.352.103 ;;;;;;;;;;;;;;
13/4/2026;CABALLITO III; $ 21.532.492 ;;;;;;;;;;;;;;
13/4/2026;CABALLITO IV; $ 23.821.722 ;;;;;;;;;;;;;;
13/4/2026;CHACARITA; $ 6.590.179 ;;;;;;;;;;;;;;
13/4/2026;DEVOTO; $ 33.434.544 ;;;;;;;;;;;;;;
13/4/2026;Devoto II; $ 20.077.441 ;;;;;;;;;;;;;;
13/4/2026;Devoto III; $ 3.476.970 ;;;;;;;;;;;;;;
13/4/2026;Escobar; $ 4.041.245 ;;;;;;;;;;;;;;
13/4/2026;FLORES; $ 35.736.026 ;;;;;;;;;;;;;;
13/4/2026;GONZALEZ CATAN; $ 30.720.075 ;;;;;;;;;;;;;;
13/4/2026;GONZALEZ CATAN II; $ 13.252.254 ;;;;;;;;;;;;;;
13/4/2026;GONZALEZ CATAN III; $ 4.005.596 ;;;;;;;;;;;;;;
13/4/2026;ISDIN G. PACIFICO; $ 710.354 ;;;;;;;;;;;;;;
13/4/2026;ISDIN PALERMO; $ 693.195 ;;;;;;;;;;;;;;
13/4/2026;LAS CANITAS; $ 24.102.458 ;;;;;;;;;;;;;;
13/4/2026;LOREAL ALTO PALERMO; $ 2.834.063 ;;;;;;;;;;;;;;
13/4/2026;LOREAL G. PACIFICO; $ 1.301.098 ;;;;;;;;;;;;;;
13/4/2026;MERCEDES; $ 8.452.539 ;;;;;;;;;;;;;;
13/4/2026;MICROCENTRO; $ 20.410.103 ;;;;;;;;;;;;;;
13/4/2026;MICROCENTRO II; $ 21.993.796 ;;;;;;;;;;;;;;
13/4/2026;MORON; $ 24.534.029 ;;;;;;;;;;;;;;
13/4/2026;NUNEZ; $ 27.736.766 ;;;;;;;;;;;;;;
13/4/2026;PADUA; $ 8.834.367 ;;;;;;;;;;;;;;
13/4/2026;PALERMO; $ 13.241.294 ;;;;;;;;;;;;;;
13/4/2026;PALERMO II; $ 11.080.408 ;;;;;;;;;;;;;;
13/4/2026;PALERMO III; $ 8.707.237 ;;;;;;;;;;;;;;
13/4/2026;PALERMO IV; $ 3.742.528 ;;;;;;;;;;;;;;
13/4/2026;PARQUE CENTENARIO; $ 5.456.576 ;;;;;;;;;;;;;;
13/4/2026;PARQUE PATRICIOS; $ 11.270.826 ;;;;;;;;;;;;;;
13/4/2026;PILAR; $ 10.915.275 ;;;;;;;;;;;;;;
13/4/2026;POMPEYA; $ 11.409.656 ;;;;;;;;;;;;;;
13/4/2026;QUILMES; $ 30.293.712 ;;;;;;;;;;;;;;
13/4/2026;RAMOS MEJIA; $ 22.093.775 ;;;;;;;;;;;;;;
13/4/2026;RAMOS MEJIA II; $ 14.248.326 ;;;;;;;;;;;;;;
13/4/2026;RAMOS MEJIA III; $ 2.051.458 ;;;;;;;;;;;;;;
13/4/2026;RECOLETA; $ 10.212.943 ;;;;;;;;;;;;;;
13/4/2026;RECOLETA II; $ 13.332.578 ;;;;;;;;;;;;;;
13/4/2026;RECOLETA III; $ 29.563.098 ;;;;;;;;;;;;;;
13/4/2026;RECOLETA IV; $ 23.340.189 ;;;;;;;;;;;;;;
13/4/2026;RECOLETA V; $ 22.478.395 ;;;;;;;;;;;;;;
13/4/2026;RETIRO; $ 12.371.497 ;;;;;;;;;;;;;;
13/4/2026;RETIRO II; $ 12.526.100 ;;;;;;;;;;;;;;
13/4/2026;SALADILLO; $ 4.528.225 ;;;;;;;;;;;;;;
13/4/2026;SAN ISIDRO; $ 78.354.139 ;;;;;;;;;;;;;;
13/4/2026;SAN ISIDRO II; $ 18.679.470 ;;;;;;;;;;;;;;
13/4/2026;SAN MIGUEL; $ 11.031.071 ;;;;;;;;;;;;;;
13/4/2026;TRIBUNALES; $ 22.175.447 ;;;;;;;;;;;;;;
13/4/2026;VILLA BALLESTER; $ 65.531.921 ;;;;;;;;;;;;;;
13/4/2026;VILLA BALLESTER II; $ 32.536.319 ;;;;;;;;;;;;;;
13/4/2026;VILLA CRESPO; $ 22.257.228 ;;;;;;;;;;;;;;
13/4/2026;VILLA DEL PARQUE; $ 24.917.556 ;;;;;;;;;;;;;;
13/4/2026;VILLA DEL PARQUE II; $ 26.202.761 ;;;;;;;;;;;;;;
13/4/2026;VILLA LURO; $ 13.849.512 ;;;;;;;;;;;;;;
13/4/2026;VILLA URQUIZA; $ 34.441.855 ;;;;;;;;;;;;;;
13/4/2026;VILLA URQUIZA II; $ 16.946.678 ;;;;;;;;;;;;;;
13/4/2026;VILLA URQUIZA III; $ 25.735.252 ;;;;;;;;;;;;;;
Total 13/4/2026;; $ 1.394.811.716 ;;;;;;;;;;;;;;
14/4/2026;BARRACAS; $ 15.605.963 ;;;;;;;;;;;;;;
14/4/2026;BECCAR; $ 32.549.254 ;;;;;;;;;;;;;;
14/4/2026;BELGRANO; $ 18.399.098 ;;;;;;;;;;;;;;
14/4/2026;BELGRANO II; $ 19.648.246 ;;;;;;;;;;;;;;
14/4/2026;BELGRANO III; $ 12.328.905 ;;;;;;;;;;;;;;
14/4/2026;BELGRANO IV; $ 14.283.921 ;;;;;;;;;;;;;;
14/4/2026;BELGRANO V; $ 21.992.646 ;;;;;;;;;;;;;;
14/4/2026;BELGRANO VI; $ 12.572.541 ;;;;;;;;;;;;;;
14/4/2026;BELGRANO VII - Danesa; $ 58.519.127 ;;;;;;;;;;;;;;
14/4/2026;BELGRANO VIII; $ 13.347.262 ;;;;;;;;;;;;;;
14/4/2026;BERAZATEGUI; $ 54.382.497 ;;;;;;;;;;;;;;
14/4/2026;BERAZATEGUI II; $ 21.172.916 ;;;;;;;;;;;;;;
14/4/2026;Boedo; $ 5.329.220 ;;;;;;;;;;;;;;
14/4/2026;CABALLITO; $ 50.148.777 ;;;;;;;;;;;;;;
14/4/2026;CABALLITO II; $ 16.846.710 ;;;;;;;;;;;;;;
14/4/2026;CABALLITO III; $ 20.396.217 ;;;;;;;;;;;;;;
14/4/2026;CABALLITO IV; $ 23.322.136 ;;;;;;;;;;;;;;
14/4/2026;CHACARITA; $ 5.838.655 ;;;;;;;;;;;;;;
14/4/2026;DEVOTO; $ 32.113.180 ;;;;;;;;;;;;;;
14/4/2026;Devoto II; $ 19.368.578 ;;;;;;;;;;;;;;
14/4/2026;Devoto III; $ 3.277.615 ;;;;;;;;;;;;;;
14/4/2026;Escobar; $ 3.809.537 ;;;;;;;;;;;;;;
14/4/2026;FLORES; $ 30.679.050 ;;;;;;;;;;;;;;
14/4/2026;GONZALEZ CATAN; $ 28.591.688 ;;;;;;;;;;;;;;
14/4/2026;GONZALEZ CATAN II; $ 13.071.773 ;;;;;;;;;;;;;;
14/4/2026;GONZALEZ CATAN III; $ 3.606.281 ;;;;;;;;;;;;;;
14/4/2026;ISDIN G. PACIFICO; $ 699.530 ;;;;;;;;;;;;;;
14/4/2026;ISDIN PALERMO; $ 875.375 ;;;;;;;;;;;;;;
14/4/2026;LAS CANITAS; $ 23.343.441 ;;;;;;;;;;;;;;
14/4/2026;LOREAL ALTO PALERMO; $ 3.609.178 ;;;;;;;;;;;;;;
14/4/2026;LOREAL G. PACIFICO; $ 1.755.976 ;;;;;;;;;;;;;;
14/4/2026;MERCEDES; $ 9.097.968 ;;;;;;;;;;;;;;
14/4/2026;MICROCENTRO; $ 19.235.929 ;;;;;;;;;;;;;;
14/4/2026;MICROCENTRO II; $ 23.210.842 ;;;;;;;;;;;;;;
14/4/2026;MORON; $ 25.827.477 ;;;;;;;;;;;;;;
14/4/2026;NUNEZ; $ 25.924.392 ;;;;;;;;;;;;;;
14/4/2026;PADUA; $ 7.366.943 ;;;;;;;;;;;;;;
14/4/2026;PALERMO; $ 12.595.517 ;;;;;;;;;;;;;;
14/4/2026;PALERMO II; $ 10.509.830 ;;;;;;;;;;;;;;
14/4/2026;PALERMO III; $ 8.056.366 ;;;;;;;;;;;;;;
14/4/2026;PALERMO IV; $ 3.527.947 ;;;;;;;;;;;;;;
14/4/2026;PARQUE CENTENARIO; $ 5.467.463 ;;;;;;;;;;;;;;
14/4/2026;PARQUE PATRICIOS; $ 9.259.572 ;;;;;;;;;;;;;;
14/4/2026;PILAR; $ 10.833.970 ;;;;;;;;;;;;;;
14/4/2026;POMPEYA; $ 10.741.031 ;;;;;;;;;;;;;;
14/4/2026;QUILMES; $ 28.369.351 ;;;;;;;;;;;;;;
14/4/2026;RAMOS MEJIA; $ 20.849.603 ;;;;;;;;;;;;;;
14/4/2026;RAMOS MEJIA II; $ 16.143.162 ;;;;;;;;;;;;;;
14/4/2026;RAMOS MEJIA III; $ 1.895.897 ;;;;;;;;;;;;;;
14/4/2026;RECOLETA; $ 9.705.063 ;;;;;;;;;;;;;;
14/4/2026;RECOLETA II; $ 11.419.157 ;;;;;;;;;;;;;;
14/4/2026;RECOLETA III; $ 28.469.860 ;;;;;;;;;;;;;;
14/4/2026;RECOLETA IV; $ 22.350.650 ;;;;;;;;;;;;;;
14/4/2026;RECOLETA V; $ 20.734.134 ;;;;;;;;;;;;;;
14/4/2026;RETIRO; $ 11.522.583 ;;;;;;;;;;;;;;
14/4/2026;RETIRO II; $ 11.332.473 ;;;;;;;;;;;;;;
14/4/2026;SALADILLO; $ 5.476.938 ;;;;;;;;;;;;;;
14/4/2026;SAN ISIDRO; $ 74.904.264 ;;;;;;;;;;;;;;
14/4/2026;SAN ISIDRO II; $ 17.460.755 ;;;;;;;;;;;;;;
14/4/2026;SAN MIGUEL; $ 9.765.543 ;;;;;;;;;;;;;;
14/4/2026;TRIBUNALES; $ 23.423.349 ;;;;;;;;;;;;;;
14/4/2026;VILLA BALLESTER; $ 64.035.489 ;;;;;;;;;;;;;;
14/4/2026;VILLA BALLESTER II; $ 30.718.616 ;;;;;;;;;;;;;;
14/4/2026;VILLA CRESPO; $ 21.760.374 ;;;;;;;;;;;;;;
14/4/2026;VILLA DEL PARQUE; $ 23.821.293 ;;;;;;;;;;;;;;
14/4/2026;VILLA DEL PARQUE II; $ 23.950.951 ;;;;;;;;;;;;;;
14/4/2026;VILLA LURO; $ 13.494.273 ;;;;;;;;;;;;;;
14/4/2026;VILLA URQUIZA; $ 32.631.780 ;;;;;;;;;;;;;;
14/4/2026;VILLA URQUIZA II; $ 16.151.088 ;;;;;;;;;;;;;;
14/4/2026;VILLA URQUIZA III; $ 24.352.964 ;;;;;;;;;;;;;;
Total 14/4/2026;; $ 1.327.880.151 ;;;;;;;;;;;;;;
15/4/2026;BARRACAS; $ 14.975.831 ;;;;;;;;;;;;;;
15/4/2026;BECCAR; $ 32.800.061 ;;;;;;;;;;;;;;
15/4/2026;BELGRANO; $ 18.953.605 ;;;;;;;;;;;;;;
15/4/2026;BELGRANO II; $ 19.388.435 ;;;;;;;;;;;;;;
15/4/2026;BELGRANO III; $ 13.237.592 ;;;;;;;;;;;;;;
15/4/2026;BELGRANO IV; $ 13.423.471 ;;;;;;;;;;;;;;
15/4/2026;BELGRANO V; $ 25.646.553 ;;;;;;;;;;;;;;
15/4/2026;BELGRANO VI; $ 12.559.810 ;;;;;;;;;;;;;;
15/4/2026;BELGRANO VII - Danesa; $ 59.918.220 ;;;;;;;;;;;;;;
15/4/2026;BELGRANO VIII; $ 14.317.185 ;;;;;;;;;;;;;;
15/4/2026;BERAZATEGUI; $ 53.608.157 ;;;;;;;;;;;;;;
15/4/2026;BERAZATEGUI II; $ 21.722.770 ;;;;;;;;;;;;;;
15/4/2026;Boedo; $ 5.454.911 ;;;;;;;;;;;;;;
15/4/2026;CABALLITO; $ 51.223.126 ;;;;;;;;;;;;;;
15/4/2026;CABALLITO II; $ 17.446.883 ;;;;;;;;;;;;;;
15/4/2026;CABALLITO III; $ 20.571.718 ;;;;;;;;;;;;;;
15/4/2026;CABALLITO IV; $ 22.987.701 ;;;;;;;;;;;;;;
15/4/2026;CHACARITA; $ 6.625.430 ;;;;;;;;;;;;;;
15/4/2026;DEVOTO; $ 32.670.384 ;;;;;;;;;;;;;;
15/4/2026;Devoto II; $ 22.055.309 ;;;;;;;;;;;;;;
15/4/2026;Devoto III; $ 3.354.918 ;;;;;;;;;;;;;;
15/4/2026;Escobar; $ 3.899.385 ;;;;;;;;;;;;;;
15/4/2026;FLORES; $ 32.775.379 ;;;;;;;;;;;;;;
15/4/2026;GONZALEZ CATAN; $ 29.382.404 ;;;;;;;;;;;;;;
15/4/2026;GONZALEZ CATAN II; $ 12.568.025 ;;;;;;;;;;;;;;
15/4/2026;GONZALEZ CATAN III; $ 4.182.703 ;;;;;;;;;;;;;;
15/4/2026;ISDIN G. PACIFICO; $ 705.574 ;;;;;;;;;;;;;;
15/4/2026;ISDIN PALERMO; $ 1.026.920 ;;;;;;;;;;;;;;
