ID_Sucursal,Sucursal,Fecha,Hora,Tickets,Unidades,Neto,Saldo_Cobertura,Saldo_Cliente
23,SAN ISIDRO,2026-04-12,21,285,355,4975668.41,1289166.76,3811471.17
23,SAN ISIDRO,2026-04-12,22,99,92,882818.03,245765.33,-88356.79
23,SAN ISIDRO,2026-04-12,23,139,194,2861606.52,702424.98,2230755.1
24,BECCAR,2026-04-12,9,52,59,907929.43,178195.18,912896.18
24,BECCAR,2026-04-12,10,109,129,2230526.08,800106.28,1297876.76
24,BECCAR,2026-04-12,11,244,310,5784203.87,2675220.39,2976016.07
24,BECCAR,2026-04-12,12,147,171,6125486.72,2799026.42,2435552.8
24,BECCAR,2026-04-12,13,102,122,2331226.33,776562.17,1080354.35
24,BECCAR,2026-04-12,14,40,44,1279195.12,417175.34,764563.27
24,BECCAR,2026-04-12,15,196,248,4333705.4,1740778.67,2539614.65
24,BECCAR,2026-04-12,16,134,162,3182098.57,698413.33,2113519.96
24,BECCAR,2026-04-12,17,165,219,3092481.84,872452.4,1806168.65
24,BECCAR,2026-04-12,18,162,199,3435560.28,846242.0,2475674.02
24,BECCAR,2026-04-12,19,142,151,2924969.47,796480.01,1929792.95
24,BECCAR,2026-04-12,20,105,131,2189308.83,632013.57,1677624.82
26,BELGRANO VI,2026-04-12,10,31,36,480670.76,150162.28,249530.67
26,BELGRANO VI,2026-04-12,11,66,72,1426484.09,294672.64,2227121.8
26,BELGRANO VI,2026-04-12,12,38,38,159113.93,-74769.53,66081.82
26,BELGRANO VI,2026-04-12,13,53,70,535280.68,20347.0,454587.73
26,BELGRANO VI,2026-04-12,14,45,49,638374.53,49058.1,552185.96
26,BELGRANO VI,2026-04-12,15,74,114,1058402.77,77812.92,1552278.16
26,BELGRANO VI,2026-04-12,16,45,61,790929.58,172172.52,429088.18
26,BELGRANO VI,2026-04-12,17,64,70,648578.83,31555.98,1264262.11
26,BELGRANO VI,2026-04-12,18,65,73,1194488.12,131419.43,703275.87
26,BELGRANO VI,2026-04-12,19,70,86,937135.5,194098.13,538891.78
28,BELGRANO V,2026-04-12,9,55,67,1060298.19,286180.12,782927.16
28,BELGRANO V,2026-04-12,10,72,112,927056.04,265642.21,645196.84
28,BELGRANO V,2026-04-12,11,179,237,3060281.65,832457.89,2009190.4
28,BELGRANO V,2026-04-12,12,181,218,2832777.94,402999.48,3735427.69
28,BELGRANO V,2026-04-12,13,170,189,2618515.77,888885.99,1894848.52
28,BELGRANO V,2026-04-12,14,112,145,1914627.52,411391.14,1332016.47
28,BELGRANO V,2026-04-12,15,179,248,3946537.21,1501498.46,1868352.07
28,BELGRANO V,2026-04-12,16,129,189,3438938.7,795176.15,2796077.44
28,BELGRANO V,2026-04-12,17,115,161,1561957.18,356788.51,1262929.76
28,BELGRANO V,2026-04-12,18,155,204,3136247.64,926504.42,2019425.24
28,BELGRANO V,2026-04-12,19,129,175,2905677.6,524417.04,2080830.85
29,VILLA URQUIZA,2026-04-12,10,112,139,2438050.01,592223.74,1761061.01
29,VILLA URQUIZA,2026-04-12,11,146,224,3055306.13,665399.24,2320435.68
29,VILLA URQUIZA,2026-04-12,12,133,147,3165682.34,971362.64,1991781.17
29,VILLA URQUIZA,2026-04-12,13,165,185,3910546.3,1523049.07,2173999.88
29,VILLA URQUIZA,2026-04-12,14,57,65,1669421.72,390653.54,1041167.9
29,VILLA URQUIZA,2026-04-12,15,75,84,1198736.27,117760.37,847413.58
29,VILLA URQUIZA,2026-04-12,16,120,153,2294957.46,561416.95,1788106.02
29,VILLA URQUIZA,2026-04-12,17,161,191,2255171.46,461605.21,1992118.39
29,VILLA URQUIZA,2026-04-12,18,151,185,2316887.86,657154.94,1972960.87
29,VILLA URQUIZA,2026-04-12,19,136,194,1774314.37,368548.66,1414758.77
31,VILLA URQUIZA II,2026-04-12,10,27,57,354470.49,31244.98,254731.04
31,VILLA URQUIZA II,2026-04-12,11,60,86,864306.98,314007.7,515213.06
31,VILLA URQUIZA II,2026-04-12,12,142,185,1849589.31,535744.19,2220879.11
31,VILLA URQUIZA II,2026-04-12,13,74,87,1451775.62,554431.99,686727.82
31,VILLA URQUIZA II,2026-04-12,14,52,78,979264.31,468394.53,552931.78
31,VILLA URQUIZA II,2026-04-12,15,39,51,963521.2,274411.34,623619.53
31,VILLA URQUIZA II,2026-04-12,16,49,54,737707.69,282225.14,400326.43
31,VILLA URQUIZA II,2026-04-12,17,68,87,975139.62,73025.46,969259.59
31,VILLA URQUIZA II,2026-04-12,18,108,141,2197998.43,678531.28,1222596.2
31,VILLA URQUIZA II,2026-04-12,19,52,54,1208187.93,472206.06,455532.24
32,VILLA URQUIZA III,2026-04-12,10,76,122,1580720.67,691243.58,825749.12
32,VILLA URQUIZA III,2026-04-12,11,155,208,2263539.52,499314.16,1853812.98
32,VILLA URQUIZA III,2026-04-12,12,131,159,2313391.03,582528.69,1357004.66
32,VILLA URQUIZA III,2026-04-12,13,117,135,3300992.58,1154124.05,1751194.21
32,VILLA URQUIZA III,2026-04-12,14,64,77,992303.0,158943.72,846485.51
32,VILLA URQUIZA III,2026-04-12,15,82,97,2780289.54,302803.67,2108015.13
32,VILLA URQUIZA III,2026-04-12,16,64,76,801881.47,253221.34,220576.91
32,VILLA URQUIZA III,2026-04-12,17,101,115,1835676.88,471920.36,997234.91
32,VILLA URQUIZA III,2026-04-12,18,140,171,4195505.42,1230598.75,2995953.17
32,VILLA URQUIZA III,2026-04-12,19,141,154,2530316.16,736324.16,1484150.64
34,LOREAL G. PACIFICO,2026-04-12,17,4,4,138969.74,48638.71,45166.52
34,LOREAL G. PACIFICO,2026-04-12,19,2,2,166614.0,58314.9,54149.55
34,LOREAL G. PACIFICO,2026-04-12,20,2,2,114082.1,34224.63,39928.73
36,BERAZATEGUI,2026-04-12,0,20,18,262648.8,0.0,219259.51
36,BERAZATEGUI,2026-04-12,1,10,11,97093.18,0.0,64938.05
36,BERAZATEGUI,2026-04-12,2,3,3,14379.97,0.0,8939.98
36,BERAZATEGUI,2026-04-12,3,8,8,130206.86,0.0,110233.61
36,BERAZATEGUI,2026-04-12,4,9,10,53316.6,0.0,47216.61
36,BERAZATEGUI,2026-04-12,5,1,4,3060.0,0.0,3060.0
36,BERAZATEGUI,2026-04-12,6,9,11,78259.01,0.0,52105.52
36,BERAZATEGUI,2026-04-12,7,3,4,19862.8,0.0,32267.68
36,BERAZATEGUI,2026-04-12,8,5,7,232115.61,82613.1,87542.68
40,VILLA CRESPO,2026-04-12,10,29,41,761603.99,339663.51,252485.78
40,VILLA CRESPO,2026-04-12,11,107,124,2347429.34,784504.72,1402275.63
40,VILLA CRESPO,2026-04-12,12,131,249,1893002.35,435303.15,1103684.88
40,VILLA CRESPO,2026-04-12,13,92,142,1216113.59,283675.15,889799.64
40,VILLA CRESPO,2026-04-12,14,94,120,1319850.65,316971.22,1003449.37
40,VILLA CRESPO,2026-04-12,15,114,137,2427297.82,478070.63,1881283.5
40,VILLA CRESPO,2026-04-12,16,93,105,1913951.75,851008.25,1299277.88
40,VILLA CRESPO,2026-04-12,17,109,128,1840246.29,593335.75,1228794.98
40,VILLA CRESPO,2026-04-12,18,130,176,2140709.76,806797.46,1115258.22
40,VILLA CRESPO,2026-04-12,19,100,121,1060144.36,179997.8,432670.34
40,VILLA CRESPO,2026-04-12,20,1,1,1.0,0.0,1.0
42,BARRACAS,2026-04-12,10,21,34,141653.94,3573.02,175080.72
42,BARRACAS,2026-04-12,11,91,153,1687610.5,690566.1,1236906.68
42,BARRACAS,2026-04-12,12,110,187,1515628.22,306535.97,1825162.99
42,BARRACAS,2026-04-12,13,64,80,936998.38,292070.69,472562.83
42,BARRACAS,2026-04-12,14,77,98,1513083.19,961326.35,675965.58
42,BARRACAS,2026-04-12,15,65,92,1020065.96,423132.08,621013.31
42,BARRACAS,2026-04-12,16,51,75,1170609.19,710039.68,514582.8
42,BARRACAS,2026-04-12,17,135,177,2572041.3,936956.06,1719242.75
42,BARRACAS,2026-04-12,18,88,103,1281465.63,156808.74,1607896.55
42,BARRACAS,2026-04-12,19,83,128,1276600.11,398102.98,706786.98
44,VILLA BALLESTER,2026-04-12,0,38,46,482120.62,69044.9,369126.45
44,VILLA BALLESTER,2026-04-12,1,28,30,384104.89,25168.1,293821.85
44,VILLA BALLESTER,2026-04-12,2,11,11,117309.77,0.0,78753.37
44,VILLA BALLESTER,2026-04-12,3,9,12,106154.36,0.0,147062.49
44,VILLA BALLESTER,2026-04-12,4,7,7,49835.59,5513.6,44321.99
44,VILLA BALLESTER,2026-04-12,5,1,1,52790.4,0.0,52790.4
44,VILLA BALLESTER,2026-04-12,6,6,6,49615.32,11236.68,37849.4
44,VILLA BALLESTER,2026-04-12,7,18,18,149120.06,16481.0,94452.53
44,VILLA BALLESTER,2026-04-12,8,61,67,1166844.72,48746.68,1696074.39
44,VILLA BALLESTER,2026-04-12,9,168,276,3528800.64,1294182.19,2168526.44
44,VILLA BALLESTER,2026-04-12,10,239,300,6182639.09,3048496.13,3067518.54
44,VILLA BALLESTER,2026-04-12,11,317,402,5421356.33,1665823.12,3592027.02
44,VILLA BALLESTER,2026-04-12,12,289,334,4902706.07,1497502.22,5000788.0
44,VILLA BALLESTER,2026-04-12,13,336,352,6292120.44,2327261.08,3566708.41
44,VILLA BALLESTER,2026-04-12,14,226,289,3664831.95,991639.4,2521135.94
44,VILLA BALLESTER,2026-04-12,15,197,198,2739668.34,902109.06,419579.82
44,VILLA BALLESTER,2026-04-12,16,229,310,4107877.52,1187148.16,2528441.87
44,VILLA BALLESTER,2026-04-12,17,346,415,6673801.23,2429018.97,4408133.51
44,VILLA BALLESTER,2026-04-12,18,317,442,5494144.13,1583053.63,3669531.4
44,VILLA BALLESTER,2026-04-12,19,365,384,6646242.99,2631863.92,4002241.05
44,VILLA BALLESTER,2026-04-12,20,266,306,5333680.66,984546.94,3303643.48
44,VILLA BALLESTER,2026-04-12,21,110,121,1838525.63,436125.79,1299916.51
44,VILLA BALLESTER,2026-04-12,22,44,46,518546.38,6619.1,587520.11
44,VILLA BALLESTER,2026-04-12,23,72,130,613812.2,72516.56,497239.32
47,VILLA DEL PARQUE II,2026-04-12,10,114,185,1942469.68,489679.9,1817337.89
47,VILLA DEL PARQUE II,2026-04-12,11,102,149,2596567.62,832929.36,1648619.48
47,VILLA DEL PARQUE II,2026-04-12,12,160,221,3182515.23,751493.0,2908395.73
47,VILLA DEL PARQUE II,2026-04-12,13,38,59,702276.35,252064.54,423842.29
47,VILLA DEL PARQUE II,2026-04-12,14,90,106,2758102.72,1315160.93,1429057.46
47,VILLA DEL PARQUE II,2026-04-12,15,122,138,3078289.25,1083656.91,1752613.65
47,VILLA DEL PARQUE II,2026-04-12,16,145,201,2840651.52,918007.1,1907618.39
47,VILLA DEL PARQUE II,2026-04-12,17,123,140,3364328.11,1400892.19,2019067.3
47,VILLA DEL PARQUE II,2026-04-12,18,152,204,2088668.9,529611.09,1579266.4
47,VILLA DEL PARQUE II,2026-04-12,19,150,176,2411016.57,826166.78,1417255.38
49,PILAR,2026-04-12,10,65,80,1068279.69,75388.78,1030079.3
49,PILAR,2026-04-12,11,94,106,1598088.4,534725.52,1175587.59
49,PILAR,2026-04-12,12,94,95,1303762.07,162536.03,1076497.62
49,PILAR,2026-04-12,13,91,124,1905818.8,846841.94,960282.47
49,PILAR,2026-04-12,14,41,34,1656311.06,540536.66,1005223.94
49,PILAR,2026-04-12,15,75,113,1534401.74,448411.64,1045973.72
49,PILAR,2026-04-12,16,80,91,1821677.84,420239.42,1372780.47
49,PILAR,2026-04-12,17,75,86,1137387.33,241605.02,798495.83
49,PILAR,2026-04-12,18,126,137,1837400.31,227454.04,2071102.07
49,PILAR,2026-04-12,19,146,162,1995296.23,333739.18,2153353.8
49,PILAR,2026-04-12,20,2,2,61933.51,0.0,123867.02
50,ISDIN G. PACIFICO,2026-04-12,10,4,4,324824.62,118920.0,102952.31
50,ISDIN G. PACIFICO,2026-04-12,12,2,2,264782.12,92673.74,86054.19
50,ISDIN G. PACIFICO,2026-04-12,15,4,4,255693.64,83508.54,172185.1
51,LOREAL ALTO PALERMO,2026-04-12,12,4,4,223080.98,56804.99,83137.99
51,LOREAL ALTO PALERMO,2026-04-12,13,2,2,259426.16,90799.16,84313.5
51,LOREAL ALTO PALERMO,2026-04-12,14,1,1,140725.08,56290.03,84435.05
51,LOREAL ALTO PALERMO,2026-04-12,15,6,6,336455.88,32114.39,152170.74
51,LOREAL ALTO PALERMO,2026-04-12,16,12,8,568737.14,234180.52,230425.23
51,LOREAL ALTO PALERMO,2026-04-12,17,16,16,1264632.22,352653.9,455989.16
51,LOREAL ALTO PALERMO,2026-04-12,18,7,7,366392.77,95350.7,152555.16
51,LOREAL ALTO PALERMO,2026-04-12,19,6,8,669400.56,177322.88,246038.84
51,LOREAL ALTO PALERMO,2026-04-12,20,6,6,356502.5,124775.88,347589.93
51,LOREAL ALTO PALERMO,2026-04-12,21,2,2,64032.08,19209.62,22411.23
52,ISDIN PALERMO,2026-04-12,10,2,2,308283.2,92484.96,107899.12
52,ISDIN PALERMO,2026-04-12,11,2,2,223449.62,0.0,111724.81
52,ISDIN PALERMO,2026-04-12,12,4,4,383382.8,134183.98,249198.82
52,ISDIN PALERMO,2026-04-12,14,14,14,1801676.74,657874.31,755763.16
52,ISDIN PALERMO,2026-04-12,15,8,4,449645.01,171211.84,56200.12
52,ISDIN PALERMO,2026-04-12,17,2,2,100862.7,30258.82,35301.94
52,ISDIN PALERMO,2026-04-12,18,2,2,162659.7,56930.9,52864.4
52,ISDIN PALERMO,2026-04-12,19,3,3,140000.34,35905.5,62205.1
52,ISDIN PALERMO,2026-04-12,20,2,2,264782.12,92673.74,86054.19
52,ISDIN PALERMO,2026-04-12,21,2,2,172923.52,60523.24,56200.14
53,BELGRANO VII - DANESA,2026-04-12,0,14,22,113808.12,14352.0,49728.06
53,BELGRANO VII - DANESA,2026-04-12,1,12,22,363515.6,125819.84,158786.59
53,BELGRANO VII - DANESA,2026-04-12,2,7,7,27180.66,0.0,20880.66
53,BELGRANO VII - DANESA,2026-04-12,4,2,2,56911.6,34146.96,11382.32
53,BELGRANO VII - DANESA,2026-04-12,8,16,18,153017.84,0.0,121272.67
53,BELGRANO VII - DANESA,2026-04-12,9,29,31,781318.02,336826.46,503765.5
53,BELGRANO VII - DANESA,2026-04-12,10,71,65,1324855.4,845827.38,328334.79
53,BELGRANO VII - DANESA,2026-04-12,11,133,169,4063658.75,1839233.79,1739950.27
53,BELGRANO VII - DANESA,2026-04-12,12,74,99,1994416.77,770374.86,821840.95
53,BELGRANO VII - DANESA,2026-04-12,13,100,136,3709058.77,1319566.01,1656849.24
53,BELGRANO VII - DANESA,2026-04-12,14,78,84,2685555.48,1467815.09,773910.8
53,BELGRANO VII - DANESA,2026-04-12,15,38,58,915299.63,376444.07,379443.67
53,BELGRANO VII - DANESA,2026-04-12,16,102,128,3120036.05,1523118.43,1142851.39
53,BELGRANO VII - DANESA,2026-04-12,17,161,207,4656921.28,2067300.73,3320451.83
53,BELGRANO VII - DANESA,2026-04-12,18,173,208,4587827.61,1960340.74,2292866.62
53,BELGRANO VII - DANESA,2026-04-12,19,142,182,6599078.95,4097895.72,3044468.61
53,BELGRANO VII - DANESA,2026-04-12,20,119,148,2764621.51,1156222.21,1120508.5
53,BELGRANO VII - DANESA,2026-04-12,21,42,47,479144.8,102655.27,107716.99
53,BELGRANO VII - DANESA,2026-04-12,22,14,21,599959.95,247199.19,200659.54
53,BELGRANO VII - DANESA,2026-04-12,23,30,34,379747.94,72532.14,191608.97
54,PALERMO II,2026-04-12,10,28,35,320913.33,65759.31,297723.42
54,PALERMO II,2026-04-12,11,59,82,655350.45,205709.55,464235.07
54,PALERMO II,2026-04-12,12,47,57,686215.24,158804.36,468633.64
54,PALERMO II,2026-04-12,13,75,117,792013.05,151906.35,512276.33
54,PALERMO II,2026-04-12,14,72,146,1201590.17,175217.01,830870.86
54,PALERMO II,2026-04-12,15,27,50,304043.8,71201.24,128716.78
54,PALERMO II,2026-04-12,16,97,120,970022.67,62941.1,1017114.1
54,PALERMO II,2026-04-12,17,84,105,917505.47,40614.72,545354.0
54,PALERMO II,2026-04-12,18,111,144,1274851.66,157299.95,1590010.77
54,PALERMO II,2026-04-12,19,108,134,906172.05,88120.84,927895.98
56,CABALLITO IV,2026-04-12,10,79,197,1273995.07,522474.35,537050.44
56,CABALLITO IV,2026-04-12,11,106,163,1716933.29,360000.5,1137218.11
56,CABALLITO IV,2026-04-12,12,152,182,3258691.82,882337.2,2579359.32
56,CABALLITO IV,2026-04-12,13,124,178,2339181.27,598412.65,1821418.74
56,CABALLITO IV,2026-04-12,14,128,131,1919860.8,479791.34,1832718.35
56,CABALLITO IV,2026-04-12,15,70,72,2266939.53,564225.77,1388859.3
56,CABALLITO IV,2026-04-12,16,119,164,2571547.14,738320.77,2188462.45
56,CABALLITO IV,2026-04-12,17,93,115,1860509.64,272930.59,1041264.04
56,CABALLITO IV,2026-04-12,18,112,117,2559721.54,657453.3,1245601.21
56,CABALLITO IV,2026-04-12,19,99,164,1119396.44,105771.76,1289785.23
61,GONZALEZ CATAN,2026-04-12,9,11,17,253217.05,36375.73,166938.6
61,GONZALEZ CATAN,2026-04-12,10,39,71,440221.35,160824.11,471417.38
61,GONZALEZ CATAN,2026-04-12,11,73,88,1058650.27,206428.87,998182.27
61,GONZALEZ CATAN,2026-04-12,12,37,42,1127217.24,758073.22,330942.8
61,GONZALEZ CATAN,2026-04-12,13,15,14,118264.74,41798.62,120138.26
61,GONZALEZ CATAN,2026-04-12,14,33,37,324762.98,144968.67,160499.0
61,GONZALEZ CATAN,2026-04-12,15,21,24,433582.42,142286.74,190460.34
61,GONZALEZ CATAN,2026-04-12,16,37,33,445852.63,33598.88,403338.47
61,GONZALEZ CATAN,2026-04-12,17,40,41,647219.27,199618.76,485472.17
61,GONZALEZ CATAN,2026-04-12,18,26,41,287307.13,60935.06,171929.14
62,MORON,2026-04-12,10,31,37,299148.59,76049.09,310884.22
62,MORON,2026-04-12,11,50,74,817699.28,300494.04,460878.2
62,MORON,2026-04-12,12,50,70,691547.12,169664.44,480200.76
62,MORON,2026-04-12,13,31,47,279662.24,17047.84,264603.53
