ID_Sucursal,Sucursal,Fecha,Hora,Tickets,Unidades,Neto,Saldo_Cobertura,Saldo_Cliente
42,BARRACAS,2026-04-19,9,1,1,1.0,0.0,1.0
42,BARRACAS,2026-04-19,10,60,95,1221138.82,187267.1,891388.86
42,BARRACAS,2026-04-19,11,56,85,1655470.22,833831.42,803313.21
42,BARRACAS,2026-04-19,12,79,94,951878.17,275211.68,1003670.4
42,BARRACAS,2026-04-19,13,104,138,1406155.07,382890.98,1280839.57
42,BARRACAS,2026-04-19,14,59,66,893459.56,137955.86,938032.55
42,BARRACAS,2026-04-19,15,41,47,897937.96,315103.84,409942.12
44,VILLA BALLESTER,2026-04-19,0,49,72,636153.96,65285.2,450633.17
44,VILLA BALLESTER,2026-04-19,1,37,42,496236.36,13479.58,421873.52
44,VILLA BALLESTER,2026-04-19,2,22,24,206181.55,0.0,247405.22
44,VILLA BALLESTER,2026-04-19,3,6,6,41799.6,0.0,34621.26
44,VILLA BALLESTER,2026-04-19,4,1,1,5873.0,0.0,5873.0
44,VILLA BALLESTER,2026-04-19,5,2,2,39947.99,0.0,39947.99
44,VILLA BALLESTER,2026-04-19,6,10,14,121988.03,0.0,187460.15
44,VILLA BALLESTER,2026-04-19,7,2,2,260316.0,104126.4,78094.8
44,VILLA BALLESTER,2026-04-19,8,72,81,2433226.7,1149260.97,1582922.57
44,VILLA BALLESTER,2026-04-19,9,135,193,2376701.69,692280.7,1553662.68
44,VILLA BALLESTER,2026-04-19,10,246,315,5516827.28,1975625.23,3546775.37
44,VILLA BALLESTER,2026-04-19,11,320,424,6461242.04,2047460.05,4476408.71
44,VILLA BALLESTER,2026-04-19,12,340,454,4607607.53,1575154.02,3840274.56
44,VILLA BALLESTER,2026-04-19,13,311,355,5101955.79,1717526.35,2606781.5
44,VILLA BALLESTER,2026-04-19,14,167,206,2914000.42,959137.53,2059620.99
44,VILLA BALLESTER,2026-04-19,15,163,186,2454927.65,901824.0,1248005.62
44,VILLA BALLESTER,2026-04-19,16,1,1,24077.51,0.0,24077.51
47,VILLA DEL PARQUE II,2026-04-19,10,94,147,1852786.24,503639.62,1292828.96
47,VILLA DEL PARQUE II,2026-04-19,11,151,184,4357914.25,1453218.84,3588022.36
47,VILLA DEL PARQUE II,2026-04-19,12,215,282,5098286.83,1686807.05,3405642.17
